price,address,link
"$2,600","Warrington Apartments, 775 Post St, San Francisco, CA 94109",https://www.zillow.com/apartments/san-francisco-ca/warrington-apartments/5XjTdj/
"$2,545","1030-1042 Polk St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/1030-1042-polk/9kBQ9z/
"$2,695","96 Crestline, 96 Crestline Dr #3, San Francisco, CA 94131",https://www.zillow.com/apartments/san-francisco-ca/96-crestline/9NLtPK/
"$2,341","737 Post St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/tower-737-condominium-rentals/5XjyDr/
"$2,195","275 Turk St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/275-turk-st/5Xmfjr/
"$2,695","30 Dore St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/glasdore-lofts/5XkSTJ/
"$2,314","1188 Mission St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/1188-mission-at-trinity-place/5XjN4q/
"$2,275","781 O'Farrell, 781 Ofarrell St APT 505, San Francisco, CA 94109",https://www.zillow.com/apartments/san-francisco-ca/781-o'farrell/ChVYX6/
"$2,195","618 Bush St, 618 Bush St #33, San Francisco, CA 94108",https://www.zillow.com/apartments/san-francisco-ca/618-bush-st/5j4BVV/
"$2,695","1850 Sacramento Street, 1850 Sacramento St APT 204, San Francisco, CA 94109",https://www.zillow.com/apartments/san-francisco-ca/1850-sacramento-street/5j4DPX/
"$2,100","Crosby Apartments, 940 Post St APT 21, San Francisco, CA 94109",https://www.zillow.com/apartments/san-francisco-ca/crosby-apartments/5XrNJc/
"$1,995","650 Ellis, 650 Ellis St APT 20, San Francisco, CA 94109",https://www.zillow.com/apartments/san-francisco-ca/650-ellis/5YDHyN/
"$2,600","1105 Bush Street, 1105 Bush St APT 207, San Francisco, CA 94109",https://www.zillow.com/apartments/san-francisco-ca/1105-bush-street/5dR35m/
"$2,738","1390 Market St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/fox-plaza/5Xj2b8/
"$2,900","4350 Kirkham Street, 4350 Kirkham St #201, San Francisco, CA 94122",https://www.zillow.com/apartments/san-francisco-ca/4350-kirkham-street/5Z9q9L/
"$2,965","2619 Mission, 2619 Mission St #1, San Francisco, CA 94110",https://www.zillow.com/apartments/san-francisco-ca/2619-mission/9VnHgJ/
"$2,545","1201 Sutter St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/oran/ChPXHT/
"$2,995","969 Bush St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/969-bush/5ZpBxg/
"$2,600","HAMPTON COURT APTS, 378 Golden Gate Ave, San Francisco, CA 94102",https://www.zillow.com/apartments/san-francisco-ca/hampton-court-apts/5d8dBW/
"$2,782","33 8th St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/33-8th-at-trinity-place/CgrBS6/
"$2,940","77 Bruton St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/hawkins/CgL5mf/
"$2,115","516 Ellis, 516 Ellis St APT 404, San Francisco, CA 94109",https://www.zillow.com/apartments/san-francisco-ca/516-ellis/ChVXjd/
"$2,249","1190 Mission St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/1190-mission-at-trinity-place/5XjVtb/
"$2,735","1222 Harrison St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/l-seven/9NJtD7/
"$2,704","AVA 55 Ninth, 55 9th St, San Francisco, CA 94103",https://www.zillow.com/apartments/san-francisco-ca/ava-55-ninth/5XkH8X/
"$2,485","965 Sutter St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/ava-nob-hill/5XkHq6/
"$2,541","1177 Market St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/1177-market-at-trinity-place/Ch4m2W/
"$2,557","50 Jones St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/50-jones/CgGvRP/
"$2,345","455 Hyde St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/455-hyde/5YBwqf/
"$1,995","1008 Larkin St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/1008-larkin-st./5XjBVq/
"$2,428","Geary Courtyard, 639 Geary St #810, San Francisco, CA 94102",https://www.zillow.com/apartments/san-francisco-ca/geary-courtyard/5XjRSd/
"$2,545","798 Post, 798 Post St #105, San Francisco, CA 94109",https://www.zillow.com/apartments/san-francisco-ca/798-post/5XkYzc/
"$2,995","665 Pine, 665 Pine St #604, San Francisco, CA 94108",https://www.zillow.com/apartments/san-francisco-ca/665-pine/9NK9vt/
"$2,976","The George, 434 Minna St #-0814, San Francisco, CA 94103",https://www.zillow.com/apartments/san-francisco-ca/the-george/CjfxLx/
"$2,201","888 Ofarrell St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/trinity-towers-apartments/5XjPdR/
"$2,949","The Mission, 240 Dolores St APT 308, San Francisco, CA 94103",https://www.zillow.com/apartments/san-francisco-ca/the-mission/5XjQJR/
"$2,836","830 Eddy St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/vance/9NKJBx/
"$2,095","2300-2312 Market Street (1272rc), 2300-2312 Market St #208, San Francisco, CA 94114",https://www.zillow.com/apartments/san-francisco-ca/2300-2312-market-street-(1272rc)/ChVXy4/
"$1,900","400 Anza Street (902r), 400 Anza St APT 105, San Francisco, CA 94118",https://www.zillow.com/apartments/san-francisco-ca/400-anza-street-(902r)/9NLDBt/
"$2,799","1699 Market St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/the-rise-hayes-valley/CgM2GL/
"$2,695","Webster Tower and Terrace, 1489 Webster St, San Francisco, CA 94115",https://www.zillow.com/apartments/san-francisco-ca/webster-tower-and-terrace/5Xk3Sh/
"$2,699","The Bay, 2133 Stockton St #B104, San Francisco, CA 94133",https://www.zillow.com/apartments/san-francisco-ca/the-bay/5Xhzkj/
"$2,195","990 Geary, 990 Geary St APT 302, San Francisco, CA 94109",https://www.zillow.com/apartments/san-francisco-ca/990-geary/5XjSTc/
"$2,650","Stanyan At Oak Apartments, 600 Stanyan St APT 305, San Francisco, CA 94117",https://www.zillow.com/apartments/san-francisco-ca/stanyan-at-oak-apartments/CjHhdq/
"$2,456","530 Brannan St, San Francisco, CA",https://www.zillow.com/apartments/san-francisco-ca/bennett-lofts/5Xrcx6/
"$2,095","1560 Sacramento Street (1300r), 1560 Sacramento St APT B, San Francisco, CA 94109",https://www.zillow.com/apartments/san-francisco-ca/1560-sacramento-street/5XjKdV/
"$2,895","(undisclosed Address), San Francisco, CA 94117",https://www.zillow.com/homedetails/San-Francisco-CA-94117/2122492116_zpid/
"$2,500","866 32nd Ave #1, San Francisco, CA 94121",https://www.zillow.com/homedetails/866-32nd-Ave-1-San-Francisco-CA-94121/446856767_zpid/
"$2,800","1165 Clay St, San Francisco, CA",https://www.zillow.com/b/1165-clay-st-san-francisco-ca-5j4Bhr/
"$2,995","31A Rausch St, San Francisco, CA",https://www.zillow.com/b/31a-rausch-st-san-francisco-ca-BtsZBt/
"$2,950","2844 Cabrillo St, San Francisco, CA 94121",https://www.zillow.com/homedetails/2844-Cabrillo-St-San-Francisco-CA-94121/2134159740_zpid/
"$2,900","1160 Mission St UNIT 2305, San Francisco, CA 94103",https://www.zillow.com/homedetails/1160-Mission-St-UNIT-2305-San-Francisco-CA-94103/83154159_zpid/
"$3,000","650 Turk St #T505, San Francisco, CA 94102",https://www.zillow.com/homedetails/650-Turk-St-T505-San-Francisco-CA-94102/440618797_zpid/
"$2,600","51-53 Beaumont Ave, San Francisco, CA 94118",https://www.zillow.com/homedetails/51-53-Beaumont-Ave-San-Francisco-CA-94118/332852442_zpid/
"$3,000","977 Pacific Ave #979, San Francisco, CA 94133",https://www.zillow.com/homedetails/977-Pacific-Ave-979-San-Francisco-CA-94133/2055292184_zpid/
"$2,900","333 Grant Ave APT 307, San Francisco, CA 94108",https://www.zillow.com/homedetails/333-Grant-Ave-APT-307-San-Francisco-CA-94108/69817583_zpid/
"$2,545","1203 Sutter St #505, San Francisco, CA 94109",https://www.zillow.com/homedetails/1203-Sutter-St-505-San-Francisco-CA-94109/446876311_zpid/
"$2,695","Top Floor In Nopa. Dishwasher! On-Site Laundry! Skylight! Hardwood Floors!, 650 Masonic Ave APT 11, San Francisco, CA 94117",https://www.zillow.com/b/650-masonic-san-francisco-ca-5Z36xf/
"$2,200","1740 Pacific Ave #202, San Francisco, CA 94109",https://www.zillow.com/homedetails/1740-Pacific-Ave-202-San-Francisco-CA-94109/446878425_zpid/
"$2,995","1223 Laguna St #1231, San Francisco, CA 94115",https://www.zillow.com/homedetails/1223-Laguna-St-1231-San-Francisco-CA-94115/341864350_zpid/
"$2,250","24 De Montfort Ave, San Francisco, CA 94112",https://www.zillow.com/homedetails/24-De-Montfort-Ave-San-Francisco-CA-94112/15187717_zpid/
"$1,880","399 Winding Way, San Francisco, CA 94112",https://www.zillow.com/homedetails/399-Winding-Way-San-Francisco-CA-94112/15179902_zpid/
"$3,000","728 Taylor St APT 4, San Francisco, CA 94108",https://www.zillow.com/homedetails/728-Taylor-St-APT-4-San-Francisco-CA-94108/2088045666_zpid/
"$2,295","145 Fell St, San Francisco, CA",https://www.zillow.com/b/143-fell-st-san-francisco-ca-Cgzn5v/
"$3,000","1604 McAllister St APT 4, San Francisco, CA 94115",https://www.zillow.com/homedetails/1604-McAllister-St-APT-4-San-Francisco-CA-94115/446786887_zpid/
"$2,950","1354A 20th Ave #A, San Francisco, CA 94122",https://www.zillow.com/homedetails/1354A-20th-Ave-A-San-Francisco-CA-94122/446372282_zpid/
"$2,695","245A Brighton Ave, San Francisco, CA 94112",https://www.zillow.com/homedetails/245A-Brighton-Ave-San-Francisco-CA-94112/2076816037_zpid/
"$2,500","2526 Van Ness Ave #8, San Francisco, CA 94109",https://www.zillow.com/homedetails/2526-Van-Ness-Ave-8-San-Francisco-CA-94109/446397222_zpid/
"$2,450","4620A Irving St, San Francisco, CA 94122",https://www.zillow.com/homedetails/4620A-Irving-St-San-Francisco-CA-94122/2058411235_zpid/
"$2,490","3407 24th St #2, San Francisco, CA 94110",https://www.zillow.com/homedetails/3407-24th-St-2-San-Francisco-CA-94110/2070175129_zpid/
"$2,700","347 21st Ave APT 4, San Francisco, CA 94121",https://www.zillow.com/homedetails/347-21st-Ave-APT-4-San-Francisco-CA-94121/446759065_zpid/
"$2,850","825 Lincoln Way APT 205, San Francisco, CA 94122",https://www.zillow.com/homedetails/825-Lincoln-Way-APT-205-San-Francisco-CA-94122/2112002865_zpid/
"$2,500","601 Van Ness Ave, San Francisco, CA",https://www.zillow.com/b/601-van-ness-avenue-san-francisco-ca-5XkGN9/
"$1,580","505 44th Ave, San Francisco, CA 94121",https://www.zillow.com/homedetails/505-44th-Ave-San-Francisco-CA-94121/2093982005_zpid/
"$2,845","176 Julian Ave APT 3, San Francisco, CA 94103",https://www.zillow.com/homedetails/176-Julian-Ave-APT-3-San-Francisco-CA-94103/2065588332_zpid/
"$2,595","1571 Revere Ave #1129R, San Francisco, CA 94124",https://www.zillow.com/homedetails/1571-Revere-Ave-1129R-San-Francisco-CA-94124/2056212073_zpid/
"$2,795","3428 Sacramento St #2A, San Francisco, CA 94118",https://www.zillow.com/homedetails/3428-Sacramento-St-2A-San-Francisco-CA-94118/446858322_zpid/
"$2,850","925 Fell St APT 2, San Francisco, CA 94117",https://www.zillow.com/homedetails/925-Fell-St-APT-2-San-Francisco-CA-94117/2078435466_zpid/
"$2,295","810 Eddy St, San Francisco, CA",https://www.zillow.com/b/801-van-ness-ave-san-francisco-ca-CgvgC8/
"$2,695","1737 Jackson St APT 303, San Francisco, CA 94109",https://www.zillow.com/homedetails/1737-Jackson-St-APT-303-San-Francisco-CA-94109/2107550297_zpid/
"$2,895","1701 Lincoln Way, San Francisco, CA 94122",https://www.zillow.com/homedetails/1701-Lincoln-Way-San-Francisco-CA-94122/2069295726_zpid/
"$3,000","385 Niagara Ave, San Francisco, CA 94112",https://www.zillow.com/homedetails/385-Niagara-Ave-San-Francisco-CA-94112/15191045_zpid/
"$2,950","667A Minna St #667A, San Francisco, CA 94103",https://www.zillow.com/homedetails/667A-Minna-St-667A-San-Francisco-CA-94103/2067526285_zpid/
"$2,800","27 Randolph St #B, San Francisco, CA 94132",https://www.zillow.com/homedetails/27-Randolph-St-B-San-Francisco-CA-94132/2055918519_zpid/
"$1,800","20 Beckett St APT 10, San Francisco, CA 94133",https://www.zillow.com/homedetails/20-Beckett-St-APT-10-San-Francisco-CA-94133/442146947_zpid/
"$2,700","5 Elizabeth St APT A, San Francisco, CA 94110",https://www.zillow.com/homedetails/5-Elizabeth-St-APT-A-San-Francisco-CA-94110/2069241670_zpid/
"$2,600","2400 17th Ave, San Francisco, CA",https://www.zillow.com/b/2400-17th-ave-san-francisco-ca-9NKz3C/
"$2,295","2340 Pacific Ave APT 203, San Francisco, CA 94115",https://www.zillow.com/homedetails/2340-Pacific-Ave-APT-203-San-Francisco-CA-94115/2110154113_zpid/
"$2,495","381 Chestnut St, San Francisco, CA","https://www.zillow.com/b/building/37.804066,-122.40962_ll/"
"$2,495","1614 Fell St, San Francisco, CA",https://www.zillow.com/b/1614-fell-st-san-francisco-ca-5j4BzF/
"$2,800","1889 Broadway St #202, San Francisco, CA 94109",https://www.zillow.com/homedetails/1889-Broadway-St-202-San-Francisco-CA-94109/446395522_zpid/
"$2,995","2125 18th Street, 2125 18th St APT C, San Francisco, CA 94107",https://www.zillow.com/b/2125-18th-street-san-francisco-ca-5YSvRK/
"$2,895","209 Sanchez St APT 5, San Francisco, CA 94114",https://www.zillow.com/homedetails/209-Sanchez-St-APT-5-San-Francisco-CA-94114/2099463904_zpid/
"$2,350","3910 Fulton St APT 1, San Francisco, CA 94118",https://www.zillow.com/homedetails/3910-Fulton-St-APT-1-San-Francisco-CA-94118/2082283882_zpid/
"$2,395","1240 California St #J6, San Francisco, CA 94109",https://www.zillow.com/homedetails/1240-California-St-J6-San-Francisco-CA-94109/446023715_zpid/
"$2,800","201 Harrison St APT 808, San Francisco, CA 94105",https://www.zillow.com/homedetails/201-Harrison-St-APT-808-San-Francisco-CA-94105/15148338_zpid/
"$2,300","880 Bush St APT 310, San Francisco, CA 94108",https://www.zillow.com/homedetails/880-Bush-St-APT-310-San-Francisco-CA-94108/445961451_zpid/
"$2,545","482 Linden St #A, San Francisco, CA 94102",https://www.zillow.com/homedetails/482-Linden-St-A-San-Francisco-CA-94102/2078648563_zpid/
"$2,295","755 Eddy St, San Francisco, CA 94109",https://www.zillow.com/homedetails/755-Eddy-St-San-Francisco-CA-94109/2060939981_zpid/
"$2,200","321 9th Ave APT 12, San Francisco, CA 94118",https://www.zillow.com/homedetails/321-9th-Ave-APT-12-San-Francisco-CA-94118/2056170477_zpid/
"$2,800","1920 Pine St APT 1, San Francisco, CA 94109",https://www.zillow.com/homedetails/1920-Pine-St-APT-1-San-Francisco-CA-94109/402298398_zpid/
"$2,490","3100 Vicente St APT 203, San Francisco, CA 94116",https://www.zillow.com/homedetails/3100-Vicente-St-APT-203-San-Francisco-CA-94116/2067106595_zpid/
"$2,300","747-49 43rd Ave #A, San Francisco, CA 94121",https://www.zillow.com/homedetails/747-49-43rd-Ave-A-San-Francisco-CA-94121/443932325_zpid/
"$2,500","3368 25th St, San Francisco, CA 94110",https://www.zillow.com/homedetails/3368-25th-St-San-Francisco-CA-94110/2093464034_zpid/
"$2,350","1710 19th Ave #8, San Francisco, CA 94122",https://www.zillow.com/homedetails/1710-19th-Ave-8-San-Francisco-CA-94122/2067425170_zpid/
"$1,800","43 Alder St, San Francisco, CA 94134",https://www.zillow.com/homedetails/43-Alder-St-San-Francisco-CA-94134/15172596_zpid/
"$2,350","2550 Golden Gate Ave APT 3, San Francisco, CA 94118",https://www.zillow.com/homedetails/2550-Golden-Gate-Ave-APT-3-San-Francisco-CA-94118/444582901_zpid/
"$2,700","615 Brazil Ave #3, San Francisco, CA 94112",https://www.zillow.com/homedetails/615-Brazil-Ave-3-San-Francisco-CA-94112/2058467128_zpid/
